checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
'<0','existing paid','furniture/equipment',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'unskilled resident',good
'no checking','no credits/all paid','radio/tv',0<=X<2000,'<100','>=7','male mar/wid',20<=X<40,'unskilled resident',good
'>=200','all paid','radio/tv',0<=X<2000,'>=1000','1<=X<4','female div/dep/mar',40<=X<60,'skilled',good
'0<=X<200','existing paid','radio/tv',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'<0','delayed previously','business',6000<=X<8000,'<100','>=7','male single',elderly,'skilled',bad
'0<=X<200','existing paid','business',0<=X<2000,'>=1000','<1','male mar/wid',20<=X<40,'skilled',good
'<0','existing paid','furniture/equipment',4000<=X<6000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','new car',4000<=X<6000,'100<=X<500','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','critical/other existing credit','business',0<=X<2000,'no known savings','>=7','male single',40<=X<60,'unskilled resident',good
'>=200','existing paid','furniture/equipment',0<=X<2000,'<100','<1','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','radio/tv',4000<=X<6000,'<100','<1','male single',20<=X<40,'unskilled resident',bad
'no checking','critical/other existing credit','education',6000<=X<8000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'>=200','existing paid','radio/tv',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'>=200','existing paid','domestic appliance',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','existing paid','radio/tv',2000<=X<4000,'500<=X<1000','>=7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'0<=X<200','existing paid','radio/tv',0<=X<2000,'500<=X<1000','1<=X<4','male div/sep',20<=X<40,'skilled',good
'0<=X<200','delayed previously','repairs',6000<=X<8000,'<100','1<=X<4','male single',40<=X<60,'unskilled resident',good
'<0','critical/other existing credit','used car',6000<=X<8000,'100<=X<500','4<=X<7','male mar/wid',20<=X<40,'skilled',good
'<0','critical/other existing credit','used car',6000<=X<8000,'<100','>=7','female div/dep/mar',40<=X<60,'unskilled resident',bad
'no checking','critical/other existing credit','new car',0<=X<2000,'<100','<1','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv',2000<=X<4000,'500<=X<1000','>=7','male single',20<=X<40,'skilled',good
'<0','existing paid','used car',0<=X<2000,'500<=X<1000',unemployed,'female div/dep/mar',20<=X<40,'unemp/unskilled non res',good
'no checking','critical/other existing credit','new car',6000<=X<8000,'<100','1<=X<4','male single',20<=X<40,'unskilled resident',good
'no checking','existing paid','radio/tv',2000<=X<4000,'100<=X<500','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','delayed previously','furniture/equipment',2000<=X<4000,'no known savings','<1','male single',20<=X<40,'unskilled resident',good
'0<=X<200','delayed previously','used car',4000<=X<6000,'<100','>=7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'no checking','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','existing paid','used car',2000<=X<4000,'no known savings','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','delayed previously','new car',2000<=X<4000,'<100','>=7','male single',40<=X<60,'skilled',bad
'no checking','all paid','new car',0<=X<2000,'no known savings','1<=X<4','male single',20<=X<40,'unskilled resident',good
'0<=X<200','existing paid','radio/tv',6000<=X<8000,'no known savings',unemployed,'male single',40<=X<60,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv',8000<=X<10000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'>=200','existing paid','new car',0<=X<2000,'<100','>=7','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',good
'<0','critical/other existing credit','furniture/equipment',6000<=X<8000,'<100','<1','female div/dep/mar',20<=X<40,'unskilled resident',bad
'0<=X<200','existing paid','business',0<=X<2000,'<100','1<=X<4','male mar/wid',20<=X<40,'skilled',good
'0<=X<200','critical/other existing credit','radio/tv',0<=X<2000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'0<=X<200','no credits/all paid','business',0<=X<2000,'<100','>=7','male single',elderly,'high qualif/self emp/mgmt',bad
'0<=X<200','no credits/all paid','business',abundant,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','existing paid','radio/tv',2000<=X<4000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',good
'no checking','existing paid','repairs',4000<=X<6000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'no checking','existing paid','radio/tv',2000<=X<4000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','existing paid','new car',0<=X<2000,'>=1000','1<=X<4','male mar/wid',20<=X<40,'skilled',good
'no checking','existing paid','education',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','existing paid','radio/tv',2000<=X<4000,'no known savings','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'no checking','existing paid','used car',8000<=X<10000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'no known savings','>=7','male single',40<=X<60,'unskilled resident',good
'<0','critical/other existing credit','other',0<=X<2000,'<100','>=7','male single',40<=X<60,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','business',4000<=X<6000,'<100','4<=X<7','female div/dep/mar',40<=X<60,'unskilled resident',good
'<0','existing paid','education',0<=X<2000,'no known savings','>=7','male single',40<=X<60,'high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','used car',0<=X<2000,'<100','>=7','male single',elderly,'high qualif/self emp/mgmt',good
'<0','existing paid','radio/tv',2000<=X<4000,'<100','<1','male single',20<=X<40,'skilled',bad
'0<=X<200','delayed previously','radio/tv',4000<=X<6000,'<100','4<=X<7','male single',40<=X<60,'skilled',good
'no checking','no credits/all paid','used car',8000<=X<10000,'no known savings','1<=X<4','male single',20<=X<40,'unskilled resident',good
'0<=X<200','existing paid','furniture/equipment',2000<=X<4000,'<100','<1','male mar/wid',20<=X<40,'skilled',good
'no checking','existing paid','radio/tv',4000<=X<6000,'no known savings','<1','female div/dep/mar',40<=X<60,'skilled',bad
'no checking','existing paid','radio/tv',0<=X<2000,'500<=X<1000','>=7','male single',40<=X<60,'skilled',good
'no checking','existing paid','business',0<=X<2000,'100<=X<500','1<=X<4','female div/dep/mar',20<=X<40,'unskilled resident',good
'<0','existing paid','other',0<=X<2000,'<100','>=7','female div/dep/mar',40<=X<60,'unskilled resident',good
'<0','existing paid','radio/tv',2000<=X<4000,'<100','>=7','male single',40<=X<60,'unskilled resident',good
'no checking','critical/other existing credit','business',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',good
'0<=X<200','critical/other existing credit','furniture/equipment',0<=X<2000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','existing paid','education',abundant,'100<=X<500','1<=X<4','male single',40<=X<60,'skilled',bad
'<0','existing paid','new car',2000<=X<4000,'100<=X<500','4<=X<7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'<0','no credits/all paid','repairs',0<=X<2000,'<100','4<=X<7','male single',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'<100','>=7','male single',40<=X<60,'skilled',good
'<0','critical/other existing credit','used car',0<=X<2000,'<100','>=7','male single',40<=X<60,'skilled',good
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'no known savings','>=7','female div/dep/mar',20<=X<40,'unskilled resident',bad
'>=200','critical/other existing credit','furniture/equipment',2000<=X<4000,'no known savings','>=7','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','new car',0<=X<2000,'>=1000','>=7','male single',40<=X<60,'skilled',good
'0<=X<200','no credits/all paid','business',abundant,'<100','<1','male single',40<=X<60,'skilled',bad
'no checking','critical/other existing credit','education',2000<=X<4000,'no known savings','4<=X<7','female div/dep/mar',elderly,'skilled',good
'0<=X<200','existing paid','business',2000<=X<4000,'100<=X<500','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','critical/other existing credit','radio/tv',2000<=X<4000,'<100','>=7','male single',20<=X<40,'skilled',good
'0<=X<200','delayed previously','used car',6000<=X<8000,'no known savings','4<=X<7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',0<=X<2000,'100<=X<500','>=7','male mar/wid',40<=X<60,'unskilled resident',good
'0<=X<200','existing paid','radio/tv',2000<=X<4000,'<100','4<=X<7','male single',20<=X<40,'skilled',good
'no checking','delayed previously','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','critical/other existing credit','furniture/equipment',0<=X<2000,'<100','4<=X<7','male single',20<=X<40,'skilled',good
'no checking','existing paid','used car',2000<=X<4000,'no known savings','<1','male mar/wid',20<=X<40,'skilled',good
'0<=X<200','critical/other existing credit','other',abundant,'<100','1<=X<4','male single',20<=X<40,'high qualif/self emp/mgmt',bad
'no checking','all paid','new car',6000<=X<8000,'<100','>=7','male single',20<=X<40,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car',6000<=X<8000,'<100','4<=X<7','male single',20<=X<40,'skilled',good
'<0','existing paid','furniture/equipment',6000<=X<8000,'no known savings','<1','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','existing paid','business',0<=X<2000,'500<=X<1000','>=7','male mar/wid',20<=X<40,'skilled',good
'0<=X<200','delayed previously','business',0<=X<2000,'100<=X<500','>=7','male div/sep',20<=X<40,'skilled',good
'>=200','existing paid','education',0<=X<2000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','existing paid','new car',6000<=X<8000,'<100','4<=X<7','male single',20<=X<40,'unskilled resident',good
'no checking','critical/other existing credit','new car',6000<=X<8000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',bad
'<0','existing paid','radio/tv',0<=X<2000,'500<=X<1000','>=7','male mar/wid',20<=X<40,'skilled',good
'no checking','critical/other existing credit','radio/tv',2000<=X<4000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'<0','existing paid','radio/tv',6000<=X<8000,'no known savings','4<=X<7','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',bad
'<0','critical/other existing credit','furniture/equipment',2000<=X<4000,'no known savings','<1','female div/dep/mar',20<=X<40,'skilled',good
'<0','critical/other existing credit','furniture/equipment',4000<=X<6000,'500<=X<1000','1<=X<4','female div/dep/mar',20<=X<40,'skilled',bad
'0<=X<200','critical/other existing credit','new car',2000<=X<4000,'500<=X<1000','4<=X<7','male div/sep',20<=X<40,'high qualif/self emp/mgmt',good
'<0','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','used car',2000<=X<4000,'<100','>=7','female div/dep/mar',40<=X<60,'high qualif/self emp/mgmt',good
'no checking','existing paid','furniture/equipment',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'unskilled resident',good
'>=200','critical/other existing credit','new car',0<=X<2000,'<100','>=7','male single',elderly,'skilled',good
'0<=X<200','existing paid','furniture/equipment',0<=X<2000,'no known savings','<1','female div/dep/mar',20<=X<40,'skilled',bad
'<0','critical/other existing credit','new car',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'<0','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male mar/wid',40<=X<60,'unskilled resident',good
'0<=X<200','existing paid','repairs',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'0<=X<200','critical/other existing credit','used car',0<=X<2000,'<100',unemployed,'male single',20<=X<40,'high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car',2000<=X<4000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',bad
'0<=X<200','existing paid','new car',8000<=X<10000,'no known savings','4<=X<7','female div/dep/mar',20<=X<40,'skilled',good
'<0','delayed previously','education',6000<=X<8000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','existing paid','furniture/equipment',2000<=X<4000,'<100','<1','male single',20<=X<40,'unskilled resident',good
'no checking','existing paid','furniture/equipment',0<=X<2000,'<100','1<=X<4','male single',40<=X<60,'skilled',good
'no checking','existing paid','radio/tv',abundant,'100<=X<500','4<=X<7','female div/dep/mar',20<=X<40,'skilled',good
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'no known savings','>=7','female div/dep/mar',20<=X<40,'skilled',good
'no checking','delayed previously','used car',8000<=X<10000,'>=1000','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','radio/tv',0<=X<2000,'500<=X<1000','1<=X<4','male single',elderly,'unskilled resident',bad
'0<=X<200','critical/other existing credit','radio/tv',2000<=X<4000,'no known savings','4<=X<7','male single',20<=X<40,'skilled',good
'>=200','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',40<=X<60,'unskilled resident',good
'>=200','existing paid','new car',0<=X<2000,'>=1000','<1','male mar/wid',20<=X<40,'unemp/unskilled non res',good
'0<=X<200','existing paid','radio/tv',4000<=X<6000,'<100','<1','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',good
'<0','existing paid','radio/tv',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'high qualif/self emp/mgmt',good
'<0','existing paid','furniture/equipment',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','furniture/equipment',2000<=X<4000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','all paid','business',2000<=X<4000,'100<=X<500','4<=X<7','male single',20<=X<40,'skilled',good
'<0','critical/other existing credit','new car',0<=X<2000,'<100','>=7','female div/dep/mar',20<=X<40,'skilled',good
'no checking','critical/other existing credit','new car',0<=X<2000,'100<=X<500','4<=X<7','female div/dep/mar',40<=X<60,'skilled',good
'<0','critical/other existing credit','furniture/equipment',4000<=X<6000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'>=1000','>=7','male single',40<=X<60,'skilled',good
'no checking','existing paid','radio/tv',0<=X<2000,'100<=X<500','>=7','male single',40<=X<60,'skilled',good
'no checking','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'>=200','existing paid','radio/tv',4000<=X<6000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','critical/other existing credit','used car',6000<=X<8000,'>=1000','>=7','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','delayed previously','business',6000<=X<8000,'100<=X<500','4<=X<7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'<0','existing paid','furniture/equipment',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',bad
'<0','critical/other existing credit','repairs',0<=X<2000,'100<=X<500','>=7','male single',40<=X<60,'skilled',good
'<0','all paid','retraining',0<=X<2000,'<100','>=7','male mar/wid',40<=X<60,'unskilled resident',good
'0<=X<200','existing paid','new car',2000<=X<4000,'100<=X<500','4<=X<7','male single',20<=X<40,'skilled',good
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'no known savings','1<=X<4','male single',20<=X<40,'unskilled resident',good
'no checking','critical/other existing credit','radio/tv',2000<=X<4000,'100<=X<500','>=7','male single',20<=X<40,'skilled',good
'no checking','critical/other existing credit','new car',0<=X<2000,'<100','<1','female div/dep/mar',20<=X<40,'skilled',good
'no checking','existing paid','domestic appliance',0<=X<2000,'500<=X<1000','4<=X<7','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','new car',6000<=X<8000,'<100',unemployed,'male single',elderly,'high qualif/self emp/mgmt',good
'no checking','existing paid','new car',0<=X<2000,'500<=X<1000','>=7','male single',20<=X<40,'skilled',good
'no checking','existing paid','furniture/equipment',2000<=X<4000,'500<=X<1000','1<=X<4','male single',20<=X<40,'skilled',good
'<0','existing paid','furniture/equipment',0<=X<2000,'<100',unemployed,'female div/dep/mar',20<=X<40,'skilled',bad
'0<=X<200','existing paid','furniture/equipment',0<=X<2000,'>=1000','<1','female div/dep/mar',20<=X<40,'skilled',good
'no checking','existing paid','furniture/equipment',2000<=X<4000,'<100','4<=X<7','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','critical/other existing credit','business',0<=X<2000,'<100','>=7','male div/sep',20<=X<40,'skilled',bad
'<0','no credits/all paid','new car',0<=X<2000,'<100','>=7','male single',20<=X<40,'skilled',bad
'no checking','existing paid','furniture/equipment',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','delayed previously','furniture/equipment',2000<=X<4000,'<100',unemployed,'female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'<0','delayed previously','education',2000<=X<4000,'<100','<1','male single',20<=X<40,'skilled',bad
'no checking','all paid','used car',6000<=X<8000,'no known savings',unemployed,'female div/dep/mar',40<=X<60,'high qualif/self emp/mgmt',bad
'<0','existing paid','furniture/equipment',2000<=X<4000,'<100','1<=X<4','male div/sep',40<=X<60,'skilled',good
'<0','critical/other existing credit','radio/tv',0<=X<2000,'500<=X<1000','>=7','male single',40<=X<60,'skilled',good
'no checking','existing paid','radio/tv',0<=X<2000,'<100','4<=X<7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'<0','critical/other existing credit','new car',0<=X<2000,'<100','>=7','male single',elderly,'skilled',good
'no checking','delayed previously','business',8000<=X<10000,'<100','<1','male div/sep',20<=X<40,'skilled',bad
'0<=X<200','delayed previously','business',4000<=X<6000,'<100','1<=X<4','male div/sep',20<=X<40,'high qualif/self emp/mgmt',bad
'<0','all paid','new car',0<=X<2000,'no known savings','1<=X<4','male single',40<=X<60,'unskilled resident',bad
'no checking','critical/other existing credit','furniture/equipment',2000<=X<4000,'>=1000','1<=X<4','male single',40<=X<60,'skilled',good
'0<=X<200','critical/other existing credit','new car',0<=X<2000,'<100','>=7','male single',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','all paid','used car',4000<=X<6000,'<100','>=7','female div/dep/mar',elderly,'high qualif/self emp/mgmt',bad
'0<=X<200','critical/other existing credit','new car',0<=X<2000,'<100',unemployed,'male single',elderly,'unemp/unskilled non res',good
'<0','existing paid','radio/tv',0<=X<2000,'100<=X<500','4<=X<7','male mar/wid',20<=X<40,'skilled',bad
'0<=X<200','no credits/all paid','furniture/equipment',2000<=X<4000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'no checking','existing paid','business',4000<=X<6000,'>=1000','1<=X<4','male single',40<=X<60,'high qualif/self emp/mgmt',bad
'0<=X<200','no credits/all paid','business',2000<=X<4000,'100<=X<500','4<=X<7','male single',20<=X<40,'unskilled resident',bad
'0<=X<200','existing paid','business',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','existing paid','radio/tv',2000<=X<4000,'<100','4<=X<7','male mar/wid',20<=X<40,'skilled',good
'0<=X<200','existing paid','radio/tv',2000<=X<4000,'100<=X<500','1<=X<4','male single',20<=X<40,'skilled',bad
'0<=X<200','critical/other existing credit','education',0<=X<2000,'<100','>=7','female div/dep/mar',20<=X<40,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'0<=X<200','existing paid','furniture/equipment',0<=X<2000,'100<=X<500','<1','female div/dep/mar',20<=X<40,'skilled',bad
'0<=X<200','existing paid','used car',2000<=X<4000,'no known savings','>=7','male single',20<=X<40,'skilled',good
'0<=X<200','delayed previously','furniture/equipment',4000<=X<6000,'<100','>=7','male div/sep',40<=X<60,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','education',0<=X<2000,'500<=X<1000','>=7','male single',40<=X<60,'skilled',good
'<0','existing paid','new car',0<=X<2000,'<100','1<=X<4','male mar/wid',20<=X<40,'unskilled resident',good
'no checking','delayed previously','business',4000<=X<6000,'<100','4<=X<7','male single',20<=X<40,'skilled',good
'<0','existing paid','retraining',0<=X<2000,'<100','4<=X<7','male mar/wid',20<=X<40,'skilled',bad
'no checking','critical/other existing credit','new car',0<=X<2000,'<100','>=7','male single',20<=X<40,'unskilled resident',good
'<0','critical/other existing credit','used car',abundant,'<100','>=7','male single',20<=X<40,'high qualif/self emp/mgmt',good
'no checking','critical/other existing credit','furniture/equipment',0<=X<2000,'<100','>=7','male single',40<=X<60,'skilled',good
'0<=X<200','critical/other existing credit','domestic appliance',0<=X<2000,'<100','4<=X<7','male single',20<=X<40,'skilled',good
'<0','existing paid','business',6000<=X<8000,'<100','1<=X<4','male mar/wid',20<=X<40,'unskilled resident',good
'no checking','existing paid','used car',0<=X<2000,'>=1000','4<=X<7','male single',40<=X<60,'skilled',good
'no checking','critical/other existing credit','radio/tv',2000<=X<4000,'no known savings','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','existing paid','radio/tv',2000<=X<4000,'no known savings','>=7','female div/dep/mar',40<=X<60,'unskilled resident',good
'<0','no credits/all paid','business',4000<=X<6000,'<100',unemployed,'male single',40<=X<60,'skilled',bad
'>=200','delayed previously','business',0<=X<2000,'<100','>=7','male single',elderly,'high qualif/self emp/mgmt',bad
'no checking','critical/other existing credit','radio/tv',2000<=X<4000,'no known savings','>=7','male single',40<=X<60,'skilled',good
'0<=X<200','critical/other existing credit','retraining',0<=X<2000,'no known savings','4<=X<7','female div/dep/mar',20<=X<40,'unskilled resident',good
'<0','no credits/all paid','business',2000<=X<4000,'<100','4<=X<7','male single',20<=X<40,'skilled',good
'>=200','existing paid','radio/tv',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'<0','existing paid','furniture/equipment',2000<=X<4000,'<100','1<=X<4','male div/sep',20<=X<40,'unskilled resident',good
'no checking','existing paid','new car',0<=X<2000,'<100','1<=X<4','female div/dep/mar',elderly,'skilled',good
'0<=X<200','existing paid','radio/tv',0<=X<2000,'<100','<1','male mar/wid',20<=X<40,'unskilled resident',good
'<0','existing paid','education',0<=X<2000,'no known savings','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'no checking','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','delayed previously','business',2000<=X<4000,'no known savings','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','existing paid','used car',4000<=X<6000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'no checking','no credits/all paid','repairs',2000<=X<4000,'<100','1<=X<4','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','radio/tv',abundant,'>=1000','4<=X<7','male single',20<=X<40,'skilled',bad
'<0','existing paid','furniture/equipment',6000<=X<8000,'<100','>=7','male single',40<=X<60,'high qualif/self emp/mgmt',bad
'no checking','existing paid','radio/tv',0<=X<2000,'<100','4<=X<7','male single',20<=X<40,'skilled',bad
'<0','existing paid','furniture/equipment',2000<=X<4000,'<100','<1','male single',20<=X<40,'skilled',good
'>=200','existing paid','radio/tv',4000<=X<6000,'<100','1<=X<4','male single',20<=X<40,'skilled',bad
'no checking','existing paid','new car',2000<=X<4000,'500<=X<1000','>=7','male single',40<=X<60,'unskilled resident',good
'no checking','existing paid','radio/tv',2000<=X<4000,'100<=X<500','4<=X<7','male single',20<=X<40,'skilled',good
'0<=X<200','existing paid','radio/tv',0<=X<2000,'<100','1<=X<4','male mar/wid',20<=X<40,'unskilled resident',good
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'<100','4<=X<7','male single',40<=X<60,'unskilled resident',good
'<0','existing paid','radio/tv',0<=X<2000,'<100',unemployed,'male single',20<=X<40,'high qualif/self emp/mgmt',bad
'0<=X<200','existing paid','new car',abundant,'no known savings',unemployed,'male single',20<=X<40,'unemp/unskilled non res',bad
'0<=X<200','existing paid','business',2000<=X<4000,'100<=X<500','>=7','male div/sep',elderly,'unskilled resident',bad
'no checking','critical/other existing credit','radio/tv',0<=X<2000,'<100','1<=X<4','female div/dep/mar',20<=X<40,'skilled',good
'<0','existing paid','radio/tv',2000<=X<4000,'<100','>=7','male single',20<=X<40,'skilled',good
'<0','existing paid','new car',0<=X<2000,'no known savings','>=7','female div/dep/mar',20<=X<40,'skilled',bad
'no checking','existing paid','radio/tv',0<=X<2000,'<100','4<=X<7','male single',40<=X<60,'skilled',good
